SMILES,NLL
CCOC(=O)CNC(=O)CSc1nc2ccccc2n1Cc1ccc(OC)cc1,24.8
CCc1nn(C(C)C(=O)Nc2c(C)cccc2C)c(=O)c2cc3occc3n12,23.41
CCCCCn1cc(C(=O)c2cccc(O)c2)cc1-c1ccc(C(=O)O)o1,32.14
O=C(O)c1ccc(N=CC=Cc2ccccc2)cc1O,22.87
CCc1nc(CN2CCC(NC(=O)CN3C(=O)COc4ccccc43)C2)no1,32.14
CN=c1nc(N2CCOCC2)nc(N2CC(C)OC(C)C2)[nH]1,24.47
Oc1cc(-c2nc3c(F)cccc3o2)ccc1C1CC1,31.02
COc1cc(C=C2SC(=O)NC2=O)ccc1O,17.3
COC1C(O)C(Oc2ccc3c(c2)CC2(OC4(O)CCC(c5coc(O)c5)C42C)C3=O)OC(C)C(COC(=O)C2CCCCC2)C1OC,55.86
CC(=O)Nc1ccc(-c2n[nH]c(=NCCCN3CCCC3=O)o2)cc1,22.99
CC(=O)OCC(C)C(Br)CCC(C)(Cl)c1ccccc1,39.09
COc1ccc(-c2oc3cc(OC)c(OC)c(OC)c3c(=O)c2O)cc1,20.04
Cc1ccc(NC(=O)CCCn2c(=S)[nH]c3ccccc3c2=O)c(C)c1,22.35
N=c1c2cc(CN)ccc2[nH]c2c(C(N)=O)cccc12,26.14
CCS(=O)(=O)N1CCC(Oc2ncnc3c2CCN3c2ccc(S(C)(=O)=O)cc2F)CC1,23.57
C=CCOc1cccc2oc(C(=O)O)cc12,25.63
Cc1ccccc1Cn1cc(C(=O)C(C)(C)C)cn1,26.2
CCCc1nc(CC)c(C=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,19.81
CC(=O)N=c1cc2[nH]c(-c3cn(Cc4ccc(S(C)(=O)=O)cc4)nn3)cn2cn1,35.41
N=c1nc(-c2ccc(F)cc2)c2c([nH]1)-c1cc(C3=CCC(NC(=O)CCl)CC3)ccc1C2=O,33.81
COc1ccc(CCC(=O)c2ccccc2)cc1,18.76
Cc1ccccc1N=c1[nH]nc(N=c2[nH]cccc2C)s1,27.14
O=C1c2ccc(O)cc2C(=O)N1C1CC1c1ccccc1,27.68
CCC1CC(C(=O)Nc2c(C)cc(C)cc2C)C(=O)c2ccccc21,33.02
CN(CCO)c1nc2cc(C(=O)O)ccc2nc1-c1ccccc1Br,28.3
O=c1ccn(C2OC(CO)C(O)C2(O)CO)c(=O)[nH]1,21.86
O=C(CCCN1CCC(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,19.47
CC(NC(=O)C1CSCCC1(C)c1ccc(C=Cc2ccccc2)cc1)c1ccc(OCCC(O)=NO)cc1,45.26
O=C(O)c1cccc(OCC(O)COCCCN2CC(O)C(O)C(O)C2CO)c1,35.24
Cc1cnc(N2CCOC3(COCCN(Cc4cccs4)C3)C2)nc1,26.11
CC(=O)c1sc(NC(=O)CSc2nnnn2-c2ccc(C)c(C)c2)c(C#N)c1C,28.06
Cc1cc(C(=O)NCC(=O)NC(C)(c2ccccc2)c2ccccc2)c(C)o1,29.07
S=C=NCCN=c1[nH]c2ccccc2n2cnnc12,28.29
Fc1ccccc1CN1CCSCC1,19.46
CCOC(=O)c1coc(=NC(=O)c2cccc([N+](=O)[O-])c2)[nH]1,25.43
CNC(=O)C12CC1C(n1cnc3c(N4CCOCC4)ncnc31)C(O)C2O,22.74
C=C(CC)C(=O)c1cccc(Cl)c1OCC(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,34.41
Cc1ncc(C(CNC(=O)c2ccc(Cl)cc2)N2CCC(F)CC2)cn1,24.18
O=C(CCC1CCN(S(=O)(=O)c2ccccc2)CC1)c1ccccc1O,28.14
Cc1cc(C)cc(NC(=O)c2cncc(C(F)(F)F)c2)c1,21.92
O=C(NC1CCCC1)c1cccc(S(=O)(=O)NCCC2=CCCCC2)c1,25.6
COC(=O)C1C2COc3cc(OCC(C)(C)C)ccc3C2N2c3cc(C)ccc3NC(=O)C12C,33.88
CN1C(=O)N(CC2CCCNC2=O)C2(CCCCC2)C1=O,32.03
Nc1cccc2c(N=O)c(-c3ccc(O)cc3O)[nH]c12,31.09
O=C(CCn1c(=O)oc2ccccc21)N1CCN(c2cccc(C(F)(F)F)c2)CC1,23.34
COc1cc2nn(CCO)c(=O)c(Oc3cc(C(F)(F)F)ccc3F)c2cc1OC1CCN(C)CC1,45.57
CCn1c(COc2ccccc2)nnc1SCC(=O)NCCOC,23.65
COc1ccc(CC2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1ncon1,21.65
O=C(CC1C(C(=O)N=CCCCN2CCCC2)C2CCC1C21CC1)N=c1[nH]cc(Cc2ccc(F)cc2)s1,35.64
CCCCCCCCCC#CCC=CCCCC(O)C(C)O,30.73
COC(=O)c1ccc(N=NC=C2CCCN2C)cc1,24.35
C#CCOc1nc(SCC)nc2cc(OC)c(OC)cc12,31.69
Cc1cc2c(C(N)=O)c(-c3c(F)cccc3F)n(CC(=O)N3CCN(C)CC3)c2cc1-c1ccncc1,41.17
CCCCC=CC(=O)CC(=O)CCC(F)(F)F,31.04
O=C(C[n+]1ccncc1)c1cccc(O)c1O,23.82
CNC(=O)C(=CCSC)Oc1ccc(Oc2ncc(F)c(C)n2)cc1,36.36
O=Cc1ccc(N2CCOCC2)[nH]1,19.87
CN(C)Cc1cc2cc(CCN(C)N)c(Cl)cc2[nH]c1=N,39.96
CON=C(CC1CC2CCC(C1)N2C)c1ccc2c(c1)OCO2,26.97
CC(C)(C)OC(=O)NC(Cc1ccc(Cl)cc1)C(=O)N1CCC(c2cccc(F)c2)(C(O)Cc2ccccc2)CC1,37.34
Cc1cc(C)c2c(S(=O)(=O)NC3CCCCC3)c(C(N)=O)sc2n1,26.84
CCOC(=O)C1C2COc3ccc(F)cc3C2N2C(=O)c3ccc(Cl)cc3NC(=O)C12C,25.57
Cc1ccccc1NCCN,21.63
CCOc1ccc(-n2c(O)c(CC(=O)Nc3cccc(Cl)c3)n(CCCOC)c2=O)cc1,25.87
COc1cccc(-c2cc(NC(C)=O)c(=O)n(CC(C)n3cc(NC(=O)c4ncoc4-c4cccc(C)c4)cn3)n2)c1,40.7
COc1ccc(C(=O)N=c2c(-c3ncccc3F)c(C)[nH]n2CC2CC2)c(Cl)c1,37.55
CCCCCCCCCC(O)c1cccc2c(=O)[nH]ccc12,31.83
CON=C1C=C(C#Cc2cccnc2)CCC1,18.25
COc1c(O)ccc2c1OC(c1ccc(Br)cc1)CC(=O)O2,27.63
COc1ccc(CN(C(=O)Nc2ccc(Cl)cc2)c2nnnn2Cc2ccccc2C(=O)O)cc1,37.49
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2ccccc12,18.9
CSc1cccc[n+]1Cc1ccccc1,19.77
CCCC(NC(=O)Cc1ccc(O)c(O)c1)C(=O)C(=O)NC1OC(CO)C(OC2OC(CO)C(O)C(NC(C)=O)C2O)C(O)C1O,46.65
COc1ccc(-c2cnccn2)cc1N,21.91
Cc1cc(-c2cc(C(=O)N(C)C)n(C)c2C)ccc1S(=O)(=O)N1CCOCC1,32.92
Cc1cccc(=NC(=O)c2ccc(C)c(S(=O)(=O)N3CCOCC3)c2)[nH]1,21.63
COc1cccc(-n2c(O)cc(=O)nc2SCC(=O)NCC2CCCO2)c1,24.78
CCc1ccc2c(C(=O)Nc3c(Cl)cccc3Cl)n[nH]c2c1,30.64
COc1cc(CCc2cc(N=c3cc[nH]c4ccc(F)cc34)n[nH]2)cc(OC)c1,22.3
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(NC(=O)c2cc(Cl)cc(Cl)c2)cc1,19.03
NS(=O)(=O)c1ccc(S(=O)(=O)NC(C(=O)NC(CCc2ccccc2)C(=O)NCc2ccccc2)C2CCCC2)c2ccccc12,45.06
c1ccc(-c2cocc2-c2cnn(-c3ccccc3)c2)cc1,25.06
COC(=O)c1ccccc1OS(=O)(=O)c1ccccc1SC,27.14
CCOCC(=O)Nc1ccsc1C(=O)OCC,24.77
CC1CN2C(=O)CCC2C(=O)N2CCc3c([nH]c4ccccc34)C12,28.89
CN1CCCC1C(=O)N=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,25.96
COc1ccccc1CNCc1nnc2n1CCCCC2,20.58
O=C(NCc1ccccc1)C1CCN(S(=O)(=O)N2CCCCCC2)CC1,21.13
O=C(O)CCCCCN1CCCCOCC1,27.39
COc1cc(CNn2cn[nH]c2=S)ccc1OCc1ccc([N+](=O)[O-])cc1,22.77
CCC(O)c1ccccc1NCc1nc(-c2cccc(S(C)(=O)=O)c2)oc1C,37.81
O=c1c2c(=S)[nH]sc2nc2[nH]c(-c3ccco3)nn12,29.68
Cc1nc(CCCC(=O)N2CCCC(C)C2)n2cccnc12,32.79
N=c1nc(N2CCCC(N)C2)[nH]c2cccc(C(F)(F)F)c12,31.18
CCCCC(=O)NC(=O)Nc1ccc(OC)cc1OC,26.64
CCCCc1nccn1CC1CCCN(C(=O)c2no[nH]c2=N)C1,33.6
Fc1cccc(C2=CSC3=NC4=C(CSc5ccccc54)C(c4ccccc4)N23)c1,24.41
O=C1NC2(CCc3ccccc32)C(=O)N1CCO,23.91
CC(O)c1cncc(-c2noc3c(F)c4c(nc23)C2(COC(=N)Nc3ccc(NC(=O)c5ccccn5)cc32)C4)c1,49.64
CC(N=c1[nH]cnc2ccc(F)cc12)c1ccccc1,21.84
CC(C)CCNC(=O)C(N)c1cc[n+]([O-])c(N)c1,37.4
Cc1cccc(N2CCN(CCc3ccc(OCCCCN(C)C)cc3)CC2)c1,24.91
CC(NC(=O)COC(=O)c1cccnc1Cl)c1ccccc1,20.09
CC(=O)NC(Cc1ccc(F)cc1)C(=O)NC1CCC(N(C)C(C)=O)CC1CS(=O)(=O)c1ccccc1,33.08
Cc1c(C)c2c(c(C)c1O)N(CC(O)c1ccccc1)C(=O)C(c1ccccc1)O2,34.58
CCCc1[nH]c(SC)nc(=O)c1C,23.53
NNS(=O)(=O)c1ccc(C(=O)O)cc1,21.08
CC(=O)c1c(OC(c2cccs2)C(F)(F)F)ccc2c(C(F)(F)F)cc(=O)oc12,38.5
CCCCCCCCCCCCCCC(=O)N(C)CCCN1CCN(CCCNC(=O)CCCCCNC(=O)C(Cc2ccc(O)cc2)NC(=O)NC2CCCCC2)CC1,46.28
O=C(O)CCC(=O)Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,23.99
CC(C)(C)OC(=O)CC1N=C(c2ccc([N+](=O)[O-])cc2)c2ccccc2N(CCCCC(O)=NO)C1=O,28.15
NC(=O)C(NC(=O)C(CC1CCCCC1)NC(=O)C(NC(=O)OCc1ccccc1)c1ccccc1)c1ccccc1,37.62
N=c1[nH]nc(CCCc2ccc(Cl)cc2)s1,20.95
CCOC(=O)C1CCN(C(=O)C2CCCc3ccc(C)nc32)CC1,27.92
Cc1ccc(C(=O)N2Cc3cccc4c3C2C2CCC(C4)CC(CC(=O)O)C2C(=O)Nc2ccc(OC(F)(F)F)cc2)cc1S(N)(=O)=O,68.79
CC(=O)c1ccc(OCC(=O)NC2CCCc3ccccc32)cc1,23.5
Cc1ccc(S(=O)(=O)c2nc(N(C)C)nc(N(C)C)n2)cc1,24.01
CCCCCCCCCCCCCCCCCC(=O)NCC(COC(C)=O)CC(O)C(=O)NC(CCCCCC)C(=O)NCc1ccccc1,47.25
Cc1cc(C)c(-n2nnnc2SCC(=O)NC(C)CCN2CCOCC2)c(C)c1,29.19
Cc1cc2[nH]c(C(=O)N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6c5NCCC6)ccc4F)CC3)cc2cc1[N+](=O)[O-],32.88
NC(Cc1ccccc1)Cc1nnc(COc2ccccc2)o1,27.78
CCCCCCCCCCCCCCCCOc1cccc(COc2ccccc2C(=O)O)c1,26.25
c1cc(-c2cc3c(cn2)cnn3-c2cncc(N3CCOCC3)n2)cs1,26.0
CN(C)C(CNC(=O)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1)c1cccs1,24.43
O=c1[nH]c(O)c(C=c2cnn3c(=NC4CC4)[nH]c(=NCc4c[nH]nn4)nc23)[nH]1,25.0
NCCc1noc(-c2csc(=Nc3ccc(Cl)cc3)[nH]2)n1,29.18
C[N+]1(C)CCC(C(=N[N+](=O)[O-])SCc2ccccc2)(c2ccc(C3CCCCC3)cc2)CC1,42.76
Cc1cccc(C)c1CC1CN(C(=O)CCCc2cccs2)CCO1,32.68
CC(C)Oc1ncc(NC(=O)N2CCn3c(c(O)n(C4CC4c4ccccc4)c3=O)C2)cn1,27.2
Cc1ccc(S(=O)(=O)N2CCC(N(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)c3cccc(C(=O)NC(C)CO)c3)c3ccccc32)cc1,40.23
Cc1ccc(OCC(=O)NN2C(=O)CSC2C(C)(C)C)cc1,25.28
COc1ccc(C2(CCN(C)C)CCC(=Cc3ccc(OCc4ccccc4)c(OC)c3)C2=O)cc1,29.7
COc1cc(COC(CCN2CCN(c3ccccc3)CC2)c2ccccc2)c(=O)n(C)c1OC,34.82
O=C(NCC(=O)N1CCN(CCO)CC1)c1cc2cc(Cl)ccc2[nH]1,27.07
O=C(OCC(=O)N1CCCC1)c1ccccc1Oc1ccccc1[N+](=O)[O-],26.64
CON=C(N)c1cccc2ccc(Oc3ccncc3C(=O)N3CCCC(CO)C3)cc12,41.22
CN(CC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1)C(=O)c1ccccn1,23.41
CC(C)=CC(=O)CC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,27.85
N#CC(=NNc1cccc(C(F)(F)F)c1)C(=O)c1c[nH]c2ccccc12,24.08
O=C(CCc1ccccc1)N=c1cc[nH]c2cc(Cl)ccc12,22.44
CC(C)C(=O)N1CCCCC1c1nnc2n1CCCCC2,22.55
Cc1nn2c(C)nnc2s1,17.25
CN1CC(C)(c2cc(NC(=O)c3ncccc3C(F)(F)F)ccc2F)N=C(N)C1=O,27.16
Clc1ccc2c(SCc3cccc4ccccc34)c3ccccc3nc2c1,28.65
CCC(C)n1c(COc2ccc(N3CCC(F)C3)cc2)cc2cc(C=NO)ccc21,51.59
COc1ccc(-c2cn3c(-c4ccccc4)csc3n2)cc1,19.34
CCCCCNC(=O)c1csc(C2CCCN(C(=O)c3ccncc3)C2)n1,31.83
O=C1Nc2ccccc2NC12CCCc1ccccc12,22.92
N=c1[nH]c2ccc(Br)cc2c2c1cnn2C1CCOC1,27.4
COCCCNC(=O)c1cccc(=NS(=O)(=O)c2ccc(C)cc2)[nH]1,28.0
O=C(CSCC1CCCN1)NC1C(=O)N2C=C1COC(CSc1cc[n+](CCO)cc1)=C2C(=O)O,46.13
CCCOc1ccc(OCCNC(C)CO)cc1F,27.9
Cc1nc2ccc(NC(=O)Cc3ccccc3)cc2s1,20.78
COCC(=O)Nc1cccc(Oc2cncc3sccc23)c1,32.57
Cc1cc(C#CCc2ccccc2)c2ccccc2n1,26.72
CCC(CCOc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1Cl)c1cccc(-c2ccccc2)c1,30.61
